Date,"Agriculture, Hunting, and Forestry",Fishing and Aquaculture,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam, and Air Conditioning Supply","Water Supply; Sewerage, Waste Management, and Remediation Activities",Construction,Wholesale and Retail Trade; Repair of Motor Vehicles,Transportation and Storage,Accomodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific, and Technical Activities",Administrative and Support Service Activities,Public Administration and Defense; Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment, and Recreation",Other Service Activities
1/1/2003,11150.0,1133.0,99.0,2781.0,117.0,0.0,1585.0,5599.0,2248.0,719.0,0.0,285.0,0.0,0.0,562.0,1432.0,968.0,378.0,0.0,2192.0
4/1/2003,9970.0,1185.0,105.0,2892.0,116.0,0.0,1747.0,5636.0,2287.0,709.0,0.0,286.0,0.0,0.0,563.0,1466.0,934.0,371.0,0.0,2152.0
7/1/2003,9495.0,1336.0,112.0,3044.0,102.0,0.0,1712.0,5509.0,2354.0,780.0,0.0,311.0,0.0,0.0,715.0,1378.0,886.0,364.0,0.0,2350.0
10/1/2003,10341.0,1400.0,101.0,3046.0,113.0,0.0,1688.0,5661.0,2352.0,793.0,0.0,329.0,0.0,0.0,716.0,1382.0,915.0,370.0,0.0,2345.0
1/1/2004,9775.0,1399.0,123.0,3104.0,110.0,0.0,1713.0,5823.0,2436.0,830.0,0.0,327.0,0.0,0.0,697.0,1478.0,937.0,365.0,0.0,2427.0
4/1/2004,9775.0,1338.0,138.0,3063.0,137.0,0.0,1792.0,5974.0,2359.0,791.0,0.0,339.0,0.0,0.0,669.0,1623.0,882.0,341.0,0.0,2311.0
7/1/2004,10082.0,1368.0,114.0,3056.0,110.0,0.0,1653.0,5901.0,2465.0,805.0,0.0,348.0,0.0,0.0,691.0,1414.0,976.0,375.0,0.0,2273.0
10/1/2004,10420.0,1365.0,96.0,3020.0,121.0,0.0,1643.0,5788.0,2446.0,798.0,0.0,298.0,0.0,0.0,702.0,1450.0,958.0,361.0,0.0,2274.0
1/1/2005,9949.0,1410.0,129.0,2995.0,128.0,0.0,1725.0,5910.0,2526.0,836.0,0.0,304.0,0.0,0.0,711.0,1436.0,959.0,382.0,0.0,2232.0
4/1/2005,9630.0,1363.0,135.0,3201.0,119.0,0.0,1781.0,6398.0,2389.0,877.0,0.0,364.0,0.0,0.0,775.0,1497.0,957.0,376.0,0.0,2358.0
7/1/2005,10595.0,1395.0,111.0,3068.0,111.0,0.0,1709.0,6064.0,2419.0,859.0,0.0,358.0,0.0,0.0,715.0,1497.0,1005.0,380.0,0.0,2235.0
10/1/2005,10763.0,1408.0,116.0,3043.0,108.0,0.0,1616.0,6215.0,2471.0,871.0,0.0,337.0,0.0,0.0,736.0,1494.0,989.0,362.0,0.0,2342.0
1/1/2006,10416.0,1406.0,120.0,2977.0,133.0,0.0,1652.0,5996.0,2547.0,867.0,0.0,343.0,0.0,0.0,755.0,1444.0,1017.0,351.0,0.0,2351.0
4/1/2006,9993.0,1427.0,174.0,3178.0,145.0,0.0,1740.0,6501.0,2479.0,919.0,0.0,337.0,0.0,0.0,814.0,1515.0,1030.0,371.0,0.0,2397.0
7/1/2006,10416.0,1425.0,133.0,3066.0,114.0,0.0,1694.0,6406.0,2472.0,873.0,0.0,346.0,0.0,0.0,808.0,1540.0,995.0,366.0,0.0,2604.0
10/1/2006,10754.0,1412.0,136.0,3012.0,123.0,0.0,1627.0,6227.0,2469.0,914.0,0.0,372.0,0.0,0.0,813.0,1541.0,1009.0,376.0,0.0,2402.0
1/1/2007,10211.0,1428.0,144.0,3041.0,124.0,0.0,1668.0,6418.0,2604.0,964.0,0.0,344.0,0.0,0.0,910.0,1541.0,1032.0,388.0,0.0,2727.0
4/1/2007,10287.0,1566.0,177.0,3073.0,134.0,0.0,1863.0,6450.0,2553.0,869.0,0.0,343.0,0.0,0.0,907.0,1549.0,998.0,356.0,0.0,2576.0
7/1/2007,10101.0,1388.0,139.0,3063.0,141.0,0.0,1841.0,6370.0,2637.0,889.0,0.0,365.0,0.0,0.0,842.0,1545.0,1067.0,353.0,0.0,2575.0
10/1/2007,10768.0,1393.0,135.0,3060.0,141.0,0.0,1740.0,6176.0,2600.0,907.0,0.0,384.0,0.0,0.0,881.0,1569.0,1043.0,396.0,0.0,2478.0
1/1/2008,10409.0,1383.0,152.0,2963.0,126.0,0.0,1740.0,6333.0,2674.0,964.0,0.0,364.0,0.0,0.0,904.0,1612.0,1083.0,390.0,0.0,2593.0
4/1/2008,10450.0,1454.0,151.0,2883.0,123.0,0.0,1843.0,6322.0,2575.0,924.0,0.0,366.0,0.0,0.0,953.0,1661.0,1028.0,384.0,0.0,2415.0
7/1/2008,10695.0,1408.0,154.0,2960.0,146.0,0.0,1870.0,6599.0,2525.0,984.0,0.0,369.0,0.0,0.0,969.0,1741.0,1076.0,386.0,0.0,2710.0
10/1/2008,10860.0,1460.0,176.0,2897.0,123.0,0.0,1882.0,6528.0,2587.0,941.0,0.0,373.0,0.0,0.0,985.0,1690.0,1096.0,406.0,0.0,2529.0
1/1/2009,10446.0,1400.0,152.0,2849.0,134.0,0.0,1721.0,6635.0,2660.0,988.0,0.0,337.0,0.0,0.0,1044.0,1659.0,1157.0,435.0,0.0,2642.0
4/1/2009,10841.0,1472.0,166.0,2841.0,130.0,0.0,1951.0,6681.0,2628.0,976.0,0.0,389.0,0.0,0.0,1023.0,1794.0,1068.0,408.0,0.0,2625.0
7/1/2009,10478.0,1467.0,177.0,2949.0,145.0,0.0,2005.0,6722.0,2696.0,1064.0,0.0,376.0,0.0,0.0,1090.0,1772.0,1158.0,428.0,0.0,2985.0
10/1/2009,10563.0,1509.0,169.0,2937.0,160.0,0.0,1888.0,6901.0,2735.0,1012.0,0.0,375.0,0.0,0.0,1100.0,1771.0,1168.0,412.0,0.0,2776.0
1/1/2010,10446.0,1400.0,152.0,2849.0,134.0,0.0,1721.0,6635.0,2660.0,988.0,0.0,337.0,0.0,0.0,1044.0,1659.0,1157.0,435.0,0.0,2642.0
4/1/2010,10841.0,1472.0,166.0,2841.0,130.0,0.0,1951.0,6681.0,2628.0,976.0,0.0,389.0,0.0,0.0,1023.0,1794.0,1068.0,408.0,0.0,2625.0
7/1/2010,10478.0,1467.0,177.0,2949.0,145.0,0.0,2005.0,6722.0,2696.0,1064.0,0.0,376.0,0.0,0.0,1090.0,1772.0,1158.0,428.0,0.0,2985.0
10/1/2010,10563.0,1509.0,169.0,2937.0,160.0,0.0,1888.0,6901.0,2735.0,1012.0,0.0,375.0,0.0,0.0,1100.0,1771.0,1168.0,412.0,0.0,2776.0
1/1/2011,10532.0,1420.0,184.0,2952.0,130.0,0.0,1998.0,7275.0,2802.0,1064.0,0.0,447.0,0.0,0.0,1195.0,1806.0,1212.0,430.0,0.0,2840.0
4/1/2011,10663.0,1492.0,230.0,3127.0,139.0,0.0,2123.0,7251.0,2697.0,1043.0,0.0,406.0,0.0,0.0,1277.0,1939.0,1169.0,456.0,0.0,2805.0
7/1/2011,10643.0,1457.0,205.0,3071.0,178.0,0.0,2175.0,7300.0,2801.0,1164.0,0.0,418.0,0.0,0.0,1214.0,1908.0,1226.0,460.0,0.0,2883.0
10/1/2011,11373.0,1488.0,226.0,3171.0,143.0,0.0,2068.0,7772.0,2799.0,1206.0,0.0,467.0,0.0,0.0,1340.0,1840.0,1190.0,460.0,0.0,3006.0
1/1/2012,10640.0,1472.0,239.0,3024.0,88.0,62.0,2103.0,6843.0,2592.0,1619.0,323.0,461.0,166.0,187.0,879.0,1933.0,1255.0,429.0,329.0,2690.0
4/1/2012,10989.0,1478.0,254.0,3146.0,84.0,65.0,2311.0,7034.0,2574.0,1364.0,326.0,416.0,168.0,180.0,971.0,1951.0,1146.0,455.0,320.0,2606.0
7/1/2012,10266.0,1369.0,262.0,3169.0,91.0,61.0,2324.0,6670.0,2627.0,1787.0,355.0,415.0,195.0,192.0,927.0,1967.0,1200.0,448.0,369.0,2860.0
10/1/2012,10746.0,1410.0,246.0,3111.0,95.0,50.0,2189.0,6909.0,2675.0,1516.0,348.0,457.0,152.0,197.0,969.0,1981.0,1200.0,418.0,293.0,2706.0
1/1/2013,10200.0,1342.0,255.0,3165.0,94.0,69.0,2284.0,7132.0,2698.0,1568.0,361.0,435.0,218.0,175.0,956.0,1984.0,1214.0,467.0,413.0,2908.0
4/1/2013,10393.0,1451.0,276.0,3185.0,86.0,59.0,2479.0,6874.0,2706.0,1626.0,350.0,426.0,156.0,197.0,980.0,2001.0,1168.0,479.0,364.0,2554.0
7/1/2013,10381.0,1426.0,247.0,3140.0,100.0,55.0,2425.0,7171.0,2780.0,1552.0,328.0,441.0,155.0,201.0,1057.0,1942.0,1272.0,464.0,299.0,2735.0
10/1/2013,10740.0,1408.0,223.0,3147.0,98.0,57.0,2304.0,7245.0,2753.0,1681.0,339.0,491.0,161.0,202.0,1069.0,1934.0,1249.0,465.0,313.0,2654.0
1/1/2014,9698.7,1248.9,222.4,3079.0,83.2,51.4,2343.0,6796.7,2587.0,1541.2,360.1,490.8,176.6,210.7,1041.7,1814.4,1213.4,481.9,353.9,2623.6
4/1/2014,10484.5,1398.1,253.2,3321.8,100.3,52.2,2624.0,7284.4,2643.1,1611.0,341.6,493.4,157.3,194.9,1066.0,1942.2,1207.7,479.0,383.2,2620.8
7/1/2014,10213.8,1360.5,239.7,3181.4,77.3,47.9,2555.1,7211.9,2677.3,1661.5,369.6,470.5,174.3,216.7,1112.5,1974.4,1288.2,475.0,325.3,2806.7
10/1/2014,10516.5,1430.8,225.3,3133.3,80.3,53.5,2555.9,7248.9,2738.3,1810.9,344.9,510.0,171.1,215.1,1076.9,1975.3,1267.0,487.0,338.1,2655.7
1/1/2015,10180.0,1310.0,231.0,3177.0,93.0,43.0,2519.0,7252.0,2783.0,1709.0,375.0,500.0,176.0,211.0,1158.0,1978.0,1261.0,468.0,329.0,2704.0
4/1/2015,10097.0,1384.0,255.0,3290.0,84.0,54.0,2791.0,7494.0,2752.0,1657.0,408.0,513.0,178.0,216.0,1110.0,2104.0,1266.0,511.0,353.0,2639.0
7/1/2015,9686.0,1285.0,240.0,3241.0,83.0,51.0,2853.0,7244.0,2892.0,1749.0,382.0,475.0,202.0,218.0,1136.0,2242.0,1314.0,513.0,363.0,3009.0
10/1/2015,10402.0,1359.0,216.0,3216.0,77.0,64.0,2773.0,7586.0,2794.0,1791.0,371.0,514.0,183.0,193.0,1177.0,2179.0,1336.0,500.0,335.0,2706.0
1/1/2016,9618.0,1291.0,214.0,3388.0,87.0,59.0,3088.0,7672.0,3045.0,1819.0,390.0,490.0,234.0,226.0,1261.0,2306.0,1385.0,516.0,431.0,3165.0
4/1/2016,9087.0,1303.0,215.0,3476.0,97.0,75.0,3528.0,8337.0,2960.0,1766.0,382.0,524.0,204.0,231.0,1371.0,2171.0,1216.0,497.0,371.0,2848.0
7/1/2016,9895.0,1261.0,227.0,3374.0,104.0,71.0,3503.0,8100.0,3094.0,1723.0,362.0,517.0,171.0,199.0,1337.0,2119.0,1318.0,483.0,301.0,2791.0
10/1/2016,10605.0,1196.0,219.0,3378.0,77.0,65.0,3391.0,8048.0,3052.0,1802.0,333.0,524.0,163.0,194.0,1515.0,2187.0,1297.0,510.0,342.0,2787.0
1/1/2017,8871.0,1157.0,179.0,3280.0,87.0,74.0,3215.0,7909.0,3070.0,1679.0,367.0,499.0,169.0,246.0,1458.0,2367.0,1222.0,502.0,314.0,2674.0
4/1/2017,9271.0,1242.0,223.0,3533.0,75.0,57.0,3544.0,7882.0,3095.0,1708.0,423.0,504.0,170.0,249.0,1487.0,2245.0,1131.0,482.0,345.0,2602.0
7/1/2017,8909.0,1219.0,204.0,3497.0,71.0,80.0,3862.0,7564.0,3078.0,1730.0,408.0,496.0,197.0,232.0,1402.0,2543.0,1195.0,468.0,292.0,2723.0
10/1/2017,9214.0,1159.0,208.0,3615.0,86.0,64.0,3525.0,8244.0,3267.0,1842.0,388.0,526.0,208.0,262.0,1553.0,2478.0,1270.0,486.0,351.0,2799.0
1/1/2018,9842.0,1027.0,215.0,3549.0,102.0,46.0,3640.0,8273.0,3314.0,1717.0,366.0,492.0,211.0,228.0,1587.0,2414.0,1187.0,484.0,360.0,2697.0
4/1/2018,8688.0,1103.0,215.0,3644.0,101.0,64.0,4012.0,7909.0,3176.0,1642.0,433.0,562.0,185.0,300.0,1589.0,2511.0,1103.0,543.0,395.0,2716.0
7/1/2018,8110.0,1269.0,207.0,3638.0,73.0,76.0,3895.0,7806.0,3225.0,1689.0,416.0,577.0,221.0,281.0,1590.0,2625.0,1239.0,349.0,163.0,2137.0
10/1/2018,8850.0,1104.0,188.0,3669.0,74.0,60.0,3913.0,7993.0,3164.0,1859.0,399.0,531.0,197.0,290.0,1573.0,2687.0,1256.0,515.0,343.0,2655.0
1/1/2019,7975.0,1192.0,191.0,3657.0,99.0,79.0,4133.0,8073.0,3417.0,1801.0,403.0,585.0,251.0,317.0,1563.0,2655.0,1272.0,525.0,388.0,2801.0
4/1/2019,8181.0,1232.0,168.0,3541.0,108.0,67.0,4221.0,8559.0,3557.0,1892.0,451.0,546.0,187.0,290.0,1711.0,2805.0,1159.0,565.0,432.0,2569.0
7/1/2019,8622.0,1470.0,211.0,3664.0,75.0,55.0,4035.0,8634.0,3253.0,1979.0,424.0,554.0,256.0,303.0,1698.0,2864.0,1292.0,491.0,429.0,2643.0
10/1/2019,8803.0,1318.0,168.0,3611.0,83.0,56.0,4222.0,8546.0,3501.0,1999.0,424.0,641.0,233.0,305.0,1658.0,2815.0,1407.0,591.0,342.0,2421.0
1/1/2020,8459.0,1166.0,184.0,3634.0,108.0,62.0,4001.0,8590.0,3398.0,2013.0,372.0,626.0,210.0,270.0,1664.0,2786.0,1349.0,566.0,394.0,2686.0
4/1/2020,7661.0,1101.0,154.0,2699.0,61.0,48.0,2792.0,6459.0,2593.0,1236.0,267.0,438.0,163.0,233.0,1503.0,2482.0,1142.0,460.0,197.0,2144.0
7/1/2020,9750.0,1117.0,243.0,3373.0,83.0,52.0,4031.0,8891.0,2914.0,1280.0,306.0,558.0,218.0,249.0,1535.0,2558.0,1192.0,544.0,117.0,2286.0
10/1/2020,8427.0,1335.0,156.0,3029.0,71.0,70.0,3974.0,8384.0,2824.0,1343.0,453.0,601.0,177.0,289.0,1734.0,2427.0,1461.0,599.0,214.0,2268.0
1/1/2021,8923.0,1121.0,177.0,3140.0,70.0,63.0,4151.0,8639.0,2939.0,1406.0,464.0,618.0,196.0,282.0,1765.0,2483.0,1439.0,632.0,269.0,2468.0
4/1/2021,9210.0,1350.0,192.0,3420.0,71.0,64.0,4137.0,9850.0,2858.0,1389.0,373.0,598.0,193.0,269.0,1728.0,2610.0,1507.0,599.0,267.0,2583.0
7/1/2021,7985.0,1201.0,202.0,3528.0,84.0,92.0,4386.0,8524.0,2966.0,1404.0,478.0,633.0,198.0,431.0,2044.0,2679.0,1362.0,670.0,318.0,2485.0
10/1/2021,9416.0,1352.0,170.0,3321.0,65.0,105.0,4151.0,9704.0,2837.0,1473.0,450.0,592.0,212.0,313.0,1950.0,2714.0,1417.0,739.0,332.0,2509.0
